division,family,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
,,Digitaria,,,,,,
,,Diglyphosa,,,,,,
,,Dillenia,,,,,,
,,Dilochia,,,,,,
,,Dimeria,,,,,,
,,Dimetia,,,,,,
,,Dimocarpus,,,,,,
,,Dimorphanthera,,,,,,
,,Dimorphocalyx,,,,,,
,,Dimorphorchis,,,,,,
,,Dinebra,,,,,,
,,Dinochloa,,,,,,
,,Dioscorea,,,,,,
,,Diospyros,,,,,,
,,Diphasiastrum,,,,,,
,,Diphasium,,,,,,
,,Diplachne,,,,,,
,,Diplacrum,,,,,,
,,Diplectria,,,,,,
,,Diploclisia,,,,,,
,,Diplocyclos,,,,,,
,,Diploknema,,,,,,
,,Diplopterygium,,,,,,
,,Diplospora,,,,,,
,,Dipodium,,,,,,
,,Dipterocarpus,,,,,,
,,Dischidia,,,,,,
,,Discocalyx,,,,,,
,,Discospermum,,,,,,
,,Disperis,,,,,,
,,Disporopsis,,,,,,
,,Dissochaeta,,,,,,
,,Distimake,,,,,,
,,Distyliopsis,,,,,,
,,Dodonaea,,,,,,
,,Dolichandra,,,,,,
,,Dolichandrone,,,,,,
,,Dolicholobium,,,,,,
,,Dolichos,,,,,,
,,Donax,,,,,,
,,Donella,,,,,,
,,Dopatrium,,,,,,
,,Dorcoceras,,,,,,
,,Doryopteris,,,,,,
,,Doryxylon,,,,,,
,,Dracaena,,,,,,
,,Dracontomelon,,,,,,
,,Drepananthus,,,,,,
,,Drosera,,,,,,
,,Drymaria,,,,,,
,,Drynaria,,,,,,
,,Dryopteris,,,,,,
,,Duabanga,,,,,,
,,Dumasia,,,,,,
,,Dunbaria,,,,,,
,,Duranta,,,,,,
,,Dysolobium,,,,,,
,,Dysoxylum,,,,,,
,,Dysphania,,,,,,
,,Echinochloa,,,,,,
,,Eclipta,,,,,,
,,Ehrharta,,,,,,
,,Elaeagnus,,,,,,
,,Elaeocarpus,,,,,,
,,Elaeodendron,,,,,,
,,Elaphoglossum,,,,,,
,,Elatostema,,,,,,
,,Elatostematoides,,,,,,
,,Elattostachys,,,,,,
,,Eleocharis,,,,,,
,,Elephantopus,,,,,,
,,Eleusine,,,,,,
,,Eleutheranthera,,,,,,
,,Eleutherine,,,,,,
,,Eleutherococcus,,,,,,
,,Ellipanthus,,,,,,
,,Ellisiophyllum,,,,,,
,,Elodea,,,,,,
,,Elytraria,,,,,,
,,Embelia,,,,,,
