Cydalima laticostalis
Macracantha hasselti
Acisoma panorpoides
Asystasia gangetica
Waltheria indica
Clusia rosea
Stapelia gigantea
Nymphicus hollandicus
Aechmea chantinii
Tagiades gana
Comostola laesaria
Centrosema virginianum
Cryptomeria japonica
Iris domestica
Acacia mangium
Calotropis gigantea
Warszewiczia coccinea
Eurrhyparodes bracteolalis
Adrapsa ablualis
Hyposidra talaca
Saxicola caprata
Centropus bengalensis
Aetholix flavibasalis
Cyrtophora cicatrosa
Bruguiera gymnorhiza
Xenus cinereus
Calidris subminuta
Echinacea purpurea
Calidris ferruginea
Orgyia postica
Perina nuda
Hypomecis separata
Sameodes cancellalis
Bryaninops amplus
Cordyline australis
Costus lucanusianus
Rapala manea
Acraea terpsicore
Catochrysops strabo
Palythoa tuberculosa
Musa acuminata
Sabal palmetto
Ataboruza divisa
Metoeca foedalis
Hydriris ornatalis
Comibaena attenuata
Gasteracantha kuhli
Heortia vitessoides
Polymorphanisus ocularis
Scopula divisaria
Hyposidra infixaria
Pingasa ruginaria
Pyrausta phoenicealis
Coccoloba uvifera
Dactyloctenium aegyptium
Cinnamomum camphora
Astronotus ocellatus
Uraeginthus angolensis
Gloriosa superba
Bidens pilosa
Murraya paniculata
Duranta erecta
Cuphea hyssopifolia
Tapinoma melanocephalum
Heptapleurum arboricola
Elaeocarpus hainanensis
Salix babylonica
Leptosia nina
Dianella caerulea
Swietenia mahagoni
Platyja umminia
Arsacia rectalis
Ceriagrion cerinorubellum
Aviceda leuphotes
Terpsiphone paradisi
Lonchura malacca
Nisaetus cirrhatus
Xanthosoma sagittifolium
Passiflora foetida
Nemanthus nitidus
Arachis pintoi
Causonis trifolia
Muntingia calabura
Castilla elastica
Nymphoides indica
Toxotes chatareus
Castanospermum australe
Molineria capitulata
Rapala iarbus
Neopithecops zalmora
Dolichandra unguis-cati
Goniobranchus fidelis
Amandava amandava
Periophthalmus argentilineatus
Diplacodes trivialis
Gliricidia sepium
Olene mendosa
Pachira aquatica
Urena lobata
Tirumala limniace
Trithemis aurora
Phylloscopus borealis
Commelina diffusa
Ardeola speciosa
Perina sunda
Calidris ruficollis
Tajuria cippus
Zizula hylax
Rapala varuna
Tagiades litigiosa
Tremella fuciformis
Brachydiplax chalybea
Senna alata
Euphyllia glabrescens
Parapoynx stagnalis
Nyctemera adversata
Miltochrista undulosa
Asota plana
Asota heliconia
Oeonistis altica
Crescentia cujete
Ducula aenea
Eupatorium capillifolium
Lespedeza bicolor
Cacatua sulphurea
Oriolus chinensis
Hirundo tahitica
Pseudagrion rubriceps
Cratilla metallica
Ardisia crenata
Melanoides tuberculata
Traminda aventiaria
Amyna punctum
Syntypistis pallidifascia
Botyodes asialis
Lyssa zampa
Oxyodes scrobiculata
Nevrina procopia
Aethaloessa calidalis
Guaiacum officinale
Colobesthes falcata
Ellochelon vaigiensis
Dianthus barbatus
Banksia spinulosa
Heliconia collinsiana
Theobroma cacao
Cordia sebestena
Cryosophila stauracantha
Syzygium jambos
Kalanchoe pinnata
Artocarpus altilis
Terminalia buceras
Ficus pumila
Lantana montevidensis
Stenotaphrum secundatum
Loropetalum chinense
Heliconia psittacorum
Condica illecta
Caulerpa sertularioides
Amazona amazonica
Psilopogon lineatus
Fascellina chromataria
Urapteroides astheniata
Psolos fuligo
Aloe arborescens
Crassula ovata
Dichondra repens
Graphium antiphates
Adoxophyes privatana
Thiania bhamoensis
Zyxomma petiolatum
Gnetum gnemon
Todiramphus chloris
Pycnonotus aurigaster
Coccinella transversalis
Aristolochia littoralis
Charadrius mongolus
Pithecellobium dulce
Eucalyptus camaldulensis
Tabebuia rosea
Jacaranda mimosifolia
Melinis repens
Chalcophaps indica
Streptopelia tranquebarica
Bijoaraneus mitificus
Delias pasithoe
Canna glauca
Diplazium proliferum
Seemannia sylvatica
Scolopendra subspinipes
Macroglossus minimus
Hura crepitans
Artemisia ludoviciana
Xystrocera globosa
Boletinellus merulioides
Gallicrex cinerea
Sida rhombifolia
Conocarpus erectus
Tirumala septentrionis
Nacaduba kurava
Pinus caribaea
Impatiens walleriana
